accelerometer,timeInSeconds,distance,isCar,isOnCall,score
0.5 , 0.01186111111111111 , 0.004497522141191108 , 0 , 1 , 34.623157649934676
0.5 , 0.013916666666666667 , 0.0031092497856588775 , 1 , 0 , 53.38371206646533
0.2 , 0.3216111111111111 , 0.2700806172850541 , 0 , 0 , 62.6491487378142
1.0 , 0.009305555555555555 , 0.007904122636459504 , 1 , 1 , 20.019258842638486
0.3 , 0.03319444444444444 , 0.012008192697811568 , 1 , 0 , 62.56998212096391
0.8 , 0.285 , 0.24805334809647178 , 1 , 1 , 23.874852598714163
0.9 , 0.008611111111111111 , 0.002453721238487416 , 0 , 1 , 21.705606305140574
0.2 , 0.012638888888888889 , 0.008204135598896309 , 1 , 1 , 42.71732841833705
0.3 , 0.005555555555555556 , 0.0009883716713755082 , 0 , 1 , 41.30394649643341
0.4 , 0.23747222222222222 , 0.35584911068201447 , 1 , 0 , 60.56547327914519
0.9 , 0.02036111111111111 , 0.0065979221145130475 , 0 , 0 , 43.51868508253828
0.0 , 0.3781388888888889 , 0.36121164965564984 , 1 , 0 , 73.15613394138207
0.7 , 0.26311111111111113 , 0.20097341008692618 , 1 , 1 , 27.874799104529735
0.5 , 0.25283333333333335 , 0.2167593454681132 , 0 , 0 , 55.39846337438967
0.4 , 0.007333333333333333 , 0.0010280227323390778 , 0 , 1 , 37.79413466193823
0.1 , 0.008388888888888888 , 0.0014872130121082196 , 0 , 1 , 45.10583209288109
0.5 , 0.01025 , 0.004400331271744172 , 1 , 1 , 35.56819185860267
1.0 , 0.2981111111111111 , 0.3014224141309798 , 0 , 1 , 20.44742146531223
0.1 , 0.08088888888888889 , 0.05949417174048595 , 1 , 0 , 65.6030347045069
0.7 , 0.010222222222222223 , 0.0036692666892327503 , 0 , 1 , 27.420706966472462
0.3 , 0.010194444444444445 , 0.0033825014389405423 , 0 , 0 , 61.53150794210374
0.2 , 0.014361111111111111 , 0.0047758551544569506 , 1 , 0 , 63.60247379117138
0.4 , 0.012277777777777778 , 0.008794998143389677 , 0 , 1 , 35.01157431540265
1.0 , 0.012055555555555555 , 0.002837406582483948 , 1 , 0 , 39.09567035602657
0.4 , 0.014472222222222221 , 0.009346553807789164 , 0 , 1 , 34.89132278406064
0.1 , 0.012861111111111111 , 0.0033350619425650922 , 0 , 0 , 68.04611415416818
0.6 , 0.017833333333333333 , 0.005151309255425808 , 0 , 0 , 52.80103486031161
0.2 , 0.019555555555555555 , 0.016501752706799405 , 0 , 1 , 40.888441052752725
0.2 , 0.017583333333333333 , 0.008997430010566274 , 1 , 0 , 63.71073492414309
0.3 , 0.47069444444444447 , 0.3427872990413031 , 1 , 0 , 61.43405897028064
0.5 , 0.14322222222222222 , 0.1056089299197567 , 1 , 0 , 53.677970015576534
0.6 , 0.1778611111111111 , 0.1718560128728165 , 0 , 1 , 31.079325132994
0.9 , 0.011472222222222222 , 0.006589046334973006 , 0 , 1 , 24.33197721758729
0.6 , 0.2803611111111111 , 0.25385998175428753 , 1 , 1 , 30.205048389743403
0.2 , 0.4509166666666667 , 0.30511253924813814 , 1 , 1 , 39.92594101654605
0.7 , 0.010027777777777778 , 0.003179055331035717 , 0 , 0 , 50.01553057977668
0.2 , 0.44672222222222224 , 0.4446669568238543 , 1 , 0 , 63.42253502408074
0.6 , 0.01838888888888889 , 0.009531260350978961 , 0 , 0 , 51.82175444099594
0.8 , 0.23452777777777778 , 0.17669730238155043 , 0 , 1 , 22.914689881713834
0.5 , 0.5346944444444445 , 0.5833048653854538 , 0 , 1 , 34.32537434307696
0.5 , 0.6958055555555556 , 0.6078128531914211 , 1 , 1 , 35.387847711743284
0.1 , 0.1995 , 0.14746738566739856 , 0 , 1 , 44.78766677304699
0.0 , 0.014611111111111111 , 0.011612402164831415 , 1 , 1 , 49.5967016265055
0.3 , 0.04741666666666667 , 0.03597528114675985 , 0 , 0 , 61.151470425359925
0.6 , 0.7335277777777778 , 0.5477842611129615 , 1 , 0 , 51.929961953424474
0.2 , 0.203 , 0.20803067802021627 , 1 , 1 , 41.38951736359846
0.2 , 0.38177777777777777 , 0.3292953061029069 , 0 , 0 , 64.31236386652303
0.3 , 0.36083333333333334 , 0.24194366787766672 , 0 , 1 , 37.94845967823871
0.0 , 0.018305555555555554 , 0.008419115566606692 , 0 , 1 , 49.83628068631271
0.7 , 0.3829444444444444 , 0.4238264660514494 , 0 , 1 , 29.76963046818585
1.0 , 0.010222222222222223 , 0.004419223602482725 , 1 , 1 , 17.010556359268776
0.9 , 0.016555555555555556 , 0.007011900952274121 , 1 , 0 , 41.77233404278706
0.4 , 0.7231666666666666 , 0.6558225853970873 , 0 , 0 , 63.33534336451193
0.3 , 0.25322222222222224 , 0.17798249729550347 , 0 , 1 , 38.7055651386832
0.9 , 0.008833333333333334 , 0.0015390540737366001 , 1 , 0 , 41.052399792251784
0.4 , 0.021027777777777777 , 0.01296283509818511 , 1 , 0 , 59.06597598248452
0.0 , 0.5270833333333333 , 0.4712183512316334 , 1 , 1 , 48.99592578547983
0.7 , 0.015527777777777777 , 0.005057168832789763 , 0 , 0 , 49.08993120829794
0.6 , 0.004694444444444445 , 0.0010156576791394926 , 0 , 1 , 31.34012469484253
0.2 , 0.2571111111111111 , 0.19614002073173892 , 1 , 0 , 61.28589789402908
1.0 , 0.2296388888888889 , 0.18017303918042307 , 0 , 0 , 39.57875735797852
0.7 , 0.11566666666666667 , 0.07577292103130948 , 1 , 0 , 49.51141495325915
0.6 , 0.011888888888888888 , 0.005728238323453472 , 0 , 1 , 30.757576251376406
0.5 , 0.19933333333333333 , 0.18879643705681234 , 0 , 1 , 36.47377041792307
0.2 , 0.01597222222222222 , 0.006013655199582905 , 1 , 1 , 43.95817972630795
0.5 , 0.020416666666666666 , 0.006494818591954363 , 1 , 0 , 55.319806518938194
0.4 , 0.009694444444444445 , 0.005244246525975019 , 1 , 1 , 36.44850261849117
0.9 , 0.015555555555555555 , 0.011329428105102885 , 1 , 1 , 22.543723805578566
0.2 , 0.1386111111111111 , 0.11611622797064189 , 0 , 0 , 64.27250298041828
0.9 , 0.2991666666666667 , 0.2818856998633767 , 1 , 0 , 44.06695750363189
0.6 , 0.014 , 0.00475777728772667 , 0 , 0 , 51.055261683848464
0.8 , 0.016083333333333335 , 0.004103962563004197 , 0 , 1 , 24.717027733597046
0.5 , 0.01686111111111111 , 0.007915064569064146 , 1 , 1 , 31.59391805568938
0.5 , 0.010694444444444444 , 0.0017579076408023506 , 0 , 1 , 35.24855964276466
0.7 , 0.7340833333333333 , 0.46301041338002585 , 0 , 1 , 21.45708764888693
0.2 , 0.00986111111111111 , 0.003085805604181001 , 1 , 1 , 42.11344994361233
0.9 , 0.5057222222222222 , 0.4411832197960012 , 0 , 0 , 43.4694258945727
0.1 , 0.5023055555555556 , 0.5405465626463567 , 0 , 1 , 46.56913847241482
0.1 , 0.023833333333333335 , 0.01167489498519148 , 0 , 1 , 46.19599799786111
0.0 , 0.5655833333333333 , 0.3173212615440795 , 1 , 0 , 68.93772636550023
0.7 , 0.23722222222222222 , 0.1447478738692744 , 0 , 1 , 27.296027772246585
0.2 , 0.018916666666666665 , 0.0058365714609899194 , 1 , 0 , 62.7534899505792
0.7 , 0.018111111111111113 , 0.003293566002635866 , 1 , 0 , 50.450279117633535
0.4 , 0.11688888888888889 , 0.08231198651186795 , 1 , 0 , 58.53109644136737
0.7 , 0.015333333333333332 , 0.006518306686576027 , 1 , 1 , 26.391821707373786
0.1 , 0.013555555555555555 , 0.002107600426495585 , 0 , 1 , 45.464698390853876
0.4 , 0.01011111111111111 , 0.0022283612315056743 , 0 , 0 , 56.98541938999574
0.2 , 0.2838611111111111 , 0.2554389777022205 , 0 , 1 , 43.12170626661545
0.6 , 0.09363888888888888 , 0.07208551447222061 , 0 , 1 , 31.87722121966906
0.7 , 0.6385833333333333 , 0.532955081557355 , 1 , 0 , 52.78170961610085
0.6 , 0.6314444444444445 , 0.672802094294664 , 1 , 0 , 57.59969003281299
0.9 , 0.006472222222222222 , 0.0014242504531945233 , 1 , 1 , 22.210929157042315
0.7 , 0.012666666666666666 , 0.0037510312824975875 , 1 , 0 , 49.9917785796541
0.3 , 0.0135 , 0.00629258674861458 , 1 , 0 , 62.27218303865436
1.0 , 0.021333333333333333 , 0.013283050292488741 , 1 , 0 , 40.7204951513399
0.0 , 0.02336111111111111 , 0.010913802570435888 , 1 , 0 , 70.0527423966254
0.5 , 0.008472222222222223 , 0.0016690855690165618 , 1 , 1 , 34.66574241787222
0.0 , 0.4078333333333333 , 0.40462793786116186 , 1 , 0 , 72.83173817904817
0.0 , 0.021027777777777777 , 0.004452051892681308 , 0 , 0 , 68.65553158828928
0.4 , 0.5033055555555556 , 0.37720112344610723 , 1 , 0 , 57.01146630245688
0.1 , 0.007333333333333333 , 0.001996072367339583 , 1 , 1 , 43.752215782199585
0.7 , 0.3322222222222222 , 0.3440417110578512 , 1 , 0 , 50.20507069246675
0.6 , 0.012694444444444444 , 0.004366160470265354 , 0 , 0 , 50.86907576748207
0.1 , 0.012694444444444444 , 0.004730888549830591 , 1 , 1 , 46.68695389734687
1.0 , 0.014055555555555556 , 0.003918820020973857 , 1 , 0 , 40.09124663704827
0.3 , 0.4282222222222222 , 0.4169456850096425 , 0 , 1 , 40.13929233844586
0.5 , 0.011916666666666667 , 0.0027800109091395955 , 1 , 1 , 34.256768498836315
0.2 , 0.0036666666666666666 , 0.0007919601026917833 , 1 , 0 , 64.90562653752036
0.9 , 0.11563888888888889 , 0.12929390838386276 , 1 , 1 , 20.52133468849808
0.5 , 0.3495 , 0.4291210789688009 , 1 , 0 , 59.11387964728738
0.6 , 0.32169444444444445 , 0.2960445446684375 , 1 , 0 , 53.6503328562001
0.4 , 0.004805555555555556 , 0.0020698553090142987 , 0 , 1 , 35.545947317671974
0.3 , 0.14233333333333334 , 0.11023163065684363 , 1 , 0 , 60.4392132280181
0.8 , 0.015305555555555555 , 0.002797602653702705 , 1 , 1 , 22.73219810091275
0.1 , 0.36544444444444446 , 0.3407541754247279 , 0 , 1 , 46.34433699552647
0.6 , 0.021638888888888888 , 0.009995065261424251 , 0 , 1 , 30.61374243418801
1.0 , 0.014194444444444445 , 0.006834260816229317 , 1 , 0 , 41.64503121976419
0.5 , 0.021944444444444444 , 0.00839673638886754 , 0 , 0 , 57.22413131116612
0.7 , 0.00786111111111111 , 0.0061209635240952395 , 1 , 0 , 49.75127532097949
0.8 , 0.011527777777777777 , 0.0068214987969574415 , 1 , 0 , 45.4666176888692
0.6 , 0.4106666666666667 , 0.3166935321304966 , 0 , 1 , 29.83309582832183
1.0 , 0.8223055555555555 , 0.6836192814930486 , 1 , 0 , 37.967850844022685
0.7 , 0.41308333333333336 , 0.5320267089063385 , 0 , 0 , 53.44542290815896
0.1 , 0.010805555555555556 , 0.0020404957101141765 , 1 , 1 , 44.231305533559876
0.0 , 0.013305555555555555 , 0.0056276450792200235 , 1 , 0 , 71.73526133787374
0.1 , 0.009555555555555555 , 0.003903760672785641 , 0 , 1 , 45.0015031577222
0.5 , 0.30325 , 0.2214381290354412 , 1 , 0 , 53.86208251820829
0.3 , 0.7273611111111111 , 0.5810240909709684 , 1 , 1 , 38.47720227896101
0.9 , 0.28830555555555554 , 0.28178967716341075 , 1 , 1 , 22.984679826930172
0.9 , 0.014083333333333333 , 0.006705803918261772 , 0 , 0 , 42.73839512708533
0.1 , 0.01972222222222222 , 0.008025667447678889 , 1 , 0 , 68.1266928243748
0.1 , 0.144 , 0.11510753839895924 , 0 , 0 , 67.03743831549154
0.5 , 0.008833333333333334 , 0.0027336524829722204 , 0 , 1 , 32.278580010944026
0.2 , 0.23944444444444443 , 0.15858076884489528 , 1 , 0 , 61.77164027466375
0.0 , 0.02125 , 0.011754231599601735 , 0 , 0 , 70.49859038733211
1.0 , 0.01638888888888889 , 0.004221467078033942 , 1 , 0 , 39.71002857389473
0.2 , 0.38711111111111113 , 0.39845478800675077 , 1 , 0 , 65.69426238793297
0.0 , 0.6343055555555556 , 0.38344319413648237 , 0 , 0 , 63.88152170086167
0.1 , 0.14308333333333334 , 0.13498444210377275 , 0 , 0 , 68.56426752203583
0.9 , 0.36894444444444446 , 0.25272145516464867 , 1 , 0 , 43.7322081624976
0.7 , 0.02225 , 0.011618858685973206 , 0 , 1 , 28.027823008118276
0.3 , 0.08077777777777778 , 0.04935012820600125 , 1 , 1 , 40.08567236436032
0.7 , 0.16202777777777777 , 0.1154486237540773 , 1 , 0 , 50.609528240298104
0.1 , 0.46408333333333335 , 0.4737383857662333 , 0 , 1 , 43.73782495849775
0.0 , 0.013111111111111112 , 0.0038209026381946735 , 1 , 0 , 68.64533304755793
0.0 , 0.49341666666666667 , 0.5026117932771799 , 0 , 0 , 66.87258484279393
0.4 , 0.0031944444444444446 , 0.0011218614577321636 , 0 , 1 , 37.05526502900317
0.8 , 0.29725 , 0.38866120142080757 , 0 , 1 , 26.647062089871497
0.5 , 0.007388888888888889 , 0.0021826480276737753 , 0 , 0 , 57.081367246075345
1.0 , 0.24877777777777776 , 0.3134728292102254 , 1 , 0 , 38.922115042478815
0.5 , 0.6244166666666666 , 0.5920089704018858 , 1 , 0 , 57.209668902947044
0.6 , 0.014 , 0.0028189072998401213 , 0 , 0 , 51.92440254495462
0.3 , 0.008861111111111111 , 0.0013192326871367193 , 0 , 1 , 38.5055800459297
0.3 , 0.1113611111111111 , 0.08898936101647269 , 1 , 0 , 60.78725948075549
0.0 , 0.5328333333333334 , 0.6869036977647717 , 0 , 0 , 75.2130833637958
0.0 , 0.01952777777777778 , 0.009897860864220653 , 1 , 1 , 49.0949203907171
0.3 , 0.45158333333333334 , 0.4027084855490661 , 0 , 0 , 58.349569017038746
0.8 , 0.17602777777777778 , 0.16844169081080002 , 1 , 1 , 23.39539422193773
0.4 , 0.19105555555555556 , 0.13290714701241152 , 1 , 0 , 57.857697681841145
0.6 , 0.011166666666666667 , 0.0032160534719740236 , 1 , 1 , 29.142234505938102
0.1 , 0.012138888888888888 , 0.003102865361567663 , 0 , 1 , 43.62657934048234
0.6 , 0.017833333333333333 , 0.0070650107219340265 , 0 , 0 , 51.959452292514584
0.7 , 0.01613888888888889 , 0.007030052250630475 , 1 , 0 , 50.115149439558046
1.0 , 0.4011111111111111 , 0.3427919193496402 , 0 , 0 , 39.98444051796427
0.2 , 0.015472222222222222 , 0.0085760939577668 , 0 , 0 , 63.91212158519256
0.9 , 0.01986111111111111 , 0.009456920602407513 , 1 , 0 , 42.01161537190606
0.0 , 0.011 , 0.004117524323958268 , 0 , 0 , 71.27155234525671
0.7 , 0.008166666666666666 , 0.0035932367612958476 , 1 , 0 , 48.57159339668999
0.4 , 0.010138888888888888 , 0.008734044390497634 , 0 , 0 , 58.09851009447603
0.4 , 0.013027777777777777 , 0.005891495975791927 , 1 , 0 , 60.17046816845123
1.0 , 0.2695 , 0.20390113514748173 , 0 , 0 , 40.934828889176366
0.6 , 0.012194444444444445 , 0.006874594111166456 , 0 , 1 , 28.845409276312967
0.9 , 0.10491666666666667 , 0.10778854723033113 , 1 , 1 , 22.240513720194482
0.6 , 0.010472222222222223 , 0.0025850693148268943 , 1 , 0 , 52.32728301797075
0.7 , 0.1830277777777778 , 0.22713148166033795 , 1 , 1 , 30.416496430345287
0.7 , 0.011583333333333333 , 0.003149696346867719 , 0 , 0 , 48.63505522328949
0.8 , 0.40275 , 0.43828230467656976 , 0 , 1 , 28.76052906600274
0.9 , 0.003472222222222222 , 0.0009227424164525091 , 0 , 0 , 43.79536064868208
0.6 , 0.020277777777777777 , 0.010921113030023247 , 0 , 0 , 52.734618386425424
1.0 , 0.0007777777777777777 , 8.54315963700999e-05 , 1 , 0 , 42.54230161890577
